INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,ICLEVEL,HIGHDEG,CONTROL,WOMENONLY,MENONLY,LOCALE,Tuition,Degree_Type,Ownership,Regions,Locales,Locale_Short
Heritage Christian University,2199700,5,848.0,0.5806,0.3226,0.7,95.0,3439.0,PrivacySuppressed,12875,51048.04,1,4,2,0.0,0.0,13.0,11194.0,Graduate,Private non-profit,South East,City: Small,City
J F Drake State Community and Technical College,526000,5,,0.693,0.0,,543.0,5499.0,,PrivacySuppressed,52646.49,2,2,1,0.0,0.0,12.0,7222.0,Associates,Public,South East,City: Midsize,City
Jacksonville State University,102000,5,1062.0,0.4308,0.6746,0.6664505672609399,6491.0,6795.0,0.672868217,16624,48389.27,1,4,1,0.0,0.0,13.0,17139.0,Graduate,Public,South East,City: Small,City
Jefferson Davis Community College,102100,5,,0.5516,0.0,,1129.0,5724.0,,PrivacySuppressed,40521.77,2,2,1,0.0,0.0,32.0,3602.0,Associates,Public,South East,Town: Distant,Town
Jefferson State Community College,102200,5,,0.3329,0.2156,,5652.0,6148.0,0.66025641,4500,57833.36,2,2,1,0.0,0.0,12.0,9674.0,Associates,Public,South East,City: Midsize,City
John C Calhoun State Community College,101300,5,,0.3909,0.2877,,7719.0,6156.0,0.64057971,5503,56005.43,2,2,1,0.0,0.0,41.0,5134.0,Associates,Public,South East,Rural: Fringe,Rural
Judson College,102300,5,1031.0,0.5635,0.6614,0.62917933130699,321.0,5545.0,0.75,12700,46522.29,1,3,2,1.0,0.0,43.0,13152.0,Bachelors,Private non-profit,South East,Rural: Remote,Rural
Lawson State Community College-Birmingham Campus,105900,5,,0.7068,0.0,,1673.0,5793.0,,PrivacySuppressed,40437.86,2,2,1,0.0,0.0,12.0,8000.0,Associates,Public,South East,City: Midsize,City
University of West Alabama,102400,5,930.0,0.5343,0.6826,0.7347280334728001,1595.0,5938.0,0.602739726,12750,40238.44,1,4,1,0.0,0.0,43.0,12733.0,Graduate,Public,South East,Rural: Remote,Rural
Lurleen B Wallace Community College,898800,5,,0.5704,0.0,,802.0,5797.0,,PrivacySuppressed,37073.95,2,2,1,0.0,0.0,41.0,7003.0,Associates,Public,South East,Rural: Fringe,Rural
Marion Military Institute,102600,5,1061.0,0.426,0.6036,0.5918141592920301,175.0,5886.0,0.644067797,5500,56305.23,2,2,1,0.0,0.0,43.0,10403.0,Associates,Public,South East,Rural: Remote,Rural
Miles College,102800,5,,0.853,0.9108,,1502.0,4337.0,PrivacySuppressed,12348.5,43157.79,1,3,2,0.0,0.0,21.0,15708.0,Bachelors,Private non-profit,South East,Suburb: Large,Suburb
University of Mobile,102900,5,1025.0,0.4918,0.7729,0.60508474576271,1764.0,5028.0,0.596045198,19750,51833.34,1,4,2,0.0,0.0,41.0,19649.0,Graduate,Private non-profit,South East,Rural: Fringe,Rural
University of Montevallo,100400,5,1069.0,0.4058,0.5755,0.7000988142292399,2557.0,7496.0,0.756929638,15500,59047.15,1,4,1,0.0,0.0,21.0,16885.0,Graduate,Public,South East,Suburb: Large,Suburb
Northwest-Shoals Community College,569700,5,,0.5279,0.2845,,3826.0,5923.0,0.579365079,5500,43283.31,2,2,1,0.0,0.0,13.0,5806.0,Associates,Public,South East,City: Small,City
University of North Alabama,101600,5,1027.0,0.402,0.6731,0.5799939740885799,4944.0,7393.0,0.771867612,12750,48189.09,1,4,1,0.0,0.0,13.0,11438.0,Graduate,Public,South East,City: Small,City
Northeast Alabama Community College,103100,5,,0.5602,0.0,,1659.0,6050.0,0.662857143,3500,43126.73,2,2,1,0.0,0.0,42.0,2932.0,Associates,Public,South East,Rural: Distant,Rural
Oakwood University,103300,5,923.0,0.5312,0.7214,0.4748995983935701,1767.0,4439.0,0.530487805,26000,60906.45,1,4,2,0.0,0.0,12.0,24565.0,Graduate,Private non-profit,South East,City: Midsize,City
Alabama Southern Community College,103400,5,,0.5472,0.0,,1261.0,5770.0,,PrivacySuppressed,37664.25,2,2,1,0.0,0.0,41.0,5058.0,Associates,Public,South East,Rural: Fringe,Rural
Reid State Technical College,569200,5,,0.5355,0.0,,706.0,5786.0,,PrivacySuppressed,36356.31,2,2,1,0.0,0.0,41.0,4147.0,Associates,Public,South East,Rural: Fringe,Rural
Bishop State Community College,103000,5,,0.6554,0.0,,4058.0,6098.0,,PrivacySuppressed,41748.26,2,2,1,0.0,0.0,12.0,5870.0,Associates,Public,South East,City: Midsize,City
Samford University,103600,5,1162.0,0.1373,0.3287,0.93304130162703,2870.0,8599.0,0.881067961,16000,69602.13,1,4,2,0.0,0.0,21.0,27065.0,Graduate,Private non-profit,South East,Suburb: Large,Suburb
Selma University,4067300,5,,0.9369,0.9647,,,2719.0,PrivacySuppressed,6000,,1,4,2,0.0,0.0,32.0,12120.0,Graduate,Private non-profit,South East,Town: Distant,Town
Shelton State Community College,569100,5,,0.4919,0.0,,5330.0,4609.0,,PrivacySuppressed,43868.43,2,2,1,0.0,0.0,13.0,9308.0,Associates,Public,South East,City: Small,City
Snead State Community College,103800,5,,0.5908,0.2741,,1579.0,5119.0,,3500,42881.33,2,2,1,0.0,0.0,32.0,5175.0,Associates,Public,South East,Town: Distant,Town
University of South Alabama,105700,5,1045.0,0.4003,0.5745,0.78158490566037,9232.0,7179.0,0.695334458,14250,51919.71,1,4,1,0.0,0.0,12.0,15204.0,Graduate,Public,South East,City: Midsize,City
Spring Hill College,104100,5,1120.0,0.35,0.6839,0.41322872987961,1227.0,6278.0,0.808411215,20500,59048.32,1,4,2,0.0,0.0,12.0,9657.0,Graduate,Private non-profit,South East,City: Midsize,City
Stillman College,104400,5,831.0,0.6818,0.7292,0.56590016825574,1530.0,4770.0,0.397435897,14250,46186.31,1,3,2,0.0,0.0,13.0,16988.0,Bachelors,Private non-profit,South East,City: Small,City
Talladega College,104600,5,,0.818,0.7804,,475.0,5186.0,0.352941177,16699,44867.28,1,3,2,0.0,0.0,32.0,13674.0,Bachelors,Private non-profit,South East,Town: Distant,Town
H Councill Trenholm State Community College,573400,5,,0.4925,0.0,,663.0,5998.0,,PrivacySuppressed,44608.65,2,2,1,0.0,0.0,12.0,7017.0,Associates,Public,South East,City: Midsize,City
Troy University,104700,5,1046.0,0.4319,0.6246,0.91865685042197,3810.0,6336.0,0.659047619,15000,49132.68,1,4,1,0.0,0.0,41.0,11551.0,Graduate,Public,South East,Rural: Fringe,Rural
Tuskegee University,105000,5,955.0,0.4869,0.6484,0.52955239739673,2467.0,6086.0,0.765432099,25000,54155.29,1,4,2,0.0,0.0,32.0,31468.0,Graduate,Private non-profit,South East,Town: Distant,Town
United States Sports Academy,2170600,5,,0.3434,0.7879,,,5393.0,PrivacySuppressed,10240.5,59896.36,1,4,2,0.0,0.0,13.0,,Graduate,Private non-profit,South East,City: Small,City
Bevill State Community College,573300,5,,0.55,0.0,,3558.0,4598.0,,PrivacySuppressed,41185.71,2,2,1,0.0,0.0,32.0,8494.0,Associates,Public,South East,Town: Distant,Town
University of Alaska Anchorage,1146200,8,,0.2392,0.2463,0.7059602649006601,14161.0,8826.0,0.831661093,9956,72116.59,1,4,1,0.0,0.0,11.0,9028.0,Graduate,Public,Far West,City: Large,City
Alaska Bible College,884300,8,,0.2041,0.1429,,,2837.0,,PrivacySuppressed,,1,3,2,0.0,0.0,32.0,11651.0,Bachelors,Private non-profit,Far West,Town: Distant,Town
University of Alaska Fairbanks,106300,8,1058.0,0.228,0.2541,0.7310167310167299,6359.0,9265.0,0.750677507,9500,65084.81,1,4,1,0.0,0.0,23.0,9942.0,Graduate,Public,Far West,Suburb: Small,Suburb
University of Alaska Southeast,106500,8,,0.1746,0.172,0.48908296943231,3353.0,7961.0,0.698795181,9500,73622.06,1,4,1,0.0,0.0,33.0,12548.0,Graduate,Public,Far West,Town: Remote,Town
Alaska Pacific University,106100,8,985.0,0.2761,0.4847,0.38912732474964,479.0,5458.0,0.827160494,16375,70542.98,1,4,2,0.0,0.0,11.0,18218.0,Graduate,Private non-profit,Far West,City: Large,City
AVTEC-Alaska's Institute of Technology,3160300,8,,0.0492,0.03,,210.0,,0.666666667,5500,62883.46,3,1,1,0.0,0.0,43.0,,Certificate,Public,Far West,Rural: Remote,Rural
Charter College,2576900,8,,0.7867,0.7685,,486.0,4674.0,0.475409836,11783,75163.69,1,4,3,0.0,0.0,11.0,25372.0,Graduate,Private for-profit,Far West,City: Large,City
Alaska Career College,2541000,8,,0.7212,0.7986,,429.0,4180.0,0.489841987,7199,69860.72,2,2,3,0.0,0.0,11.0,15854.0,Associates,Private for-profit,Far West,City: Large,City
Empire Beauty School-Tucson,966403,6,,0.7713,0.6368,,124.0,,0.342948718,8830,52261.19,3,1,3,0.0,0.0,11.0,13139.0,Certificate,Private for-profit,South West,City: Large,City
Thunderbird School of Global Management,108160,6,1143.0,,,0.76481835564053,,18326.0,0.739734885,14500,71245.67,1,4,1,0.0,0.0,21.0,,Graduate,Public,South West,Suburb: Large,Suburb
American Institute of Trucking,2317800,6,,0.515,0.7588,,147.0,,0.432530999,5982,57768.8,3,1,3,0.0,0.0,11.0,18215.0,Certificate,Private for-profit,South West,City: Large,City
Carrington College-Phoenix North,2100600,6,,0.8045,0.5683,0.98275862068965,263.0,4293.0,0.366039844,9500,53686.19,2,2,3,0.0,0.0,11.0,20850.0,Associates,Private for-profit,South West,City: Large,City
Carrington College-Mesa,2100611,6,,0.7565,0.5459,0.98275862068965,250.0,4314.0,0.366039844,9500,,2,2,3,0.0,0.0,11.0,20981.0,Associates,Private for-profit,South West,City: Large,City
Carrington College-Tucson,2100607,6,,0.7968,0.5015,0.98275862068965,250.0,3281.0,0.366039844,9500,,2,1,3,0.0,0.0,11.0,19835.0,Certificate,Private for-profit,South West,City: Large,City
CollegeAmerica-Flagstaff,3120300,6,,0.892,0.8636,,22.0,5438.0,0.214285714,16635.5,45219.99,1,3,2,0.0,0.0,13.0,24821.0,Bachelors,Private non-profit,South West,City: Small,City
Arizona Academy of Beauty-East,886400,6,,0.6609999999999999,0.5593,,29.0,,PrivacySuppressed,4750,47198.06,3,1,3,0.0,0.0,11.0,18218.0,Certificate,Private for-profit,South West,City: Large,City
Arizona Automotive Institute,2306807,6,,0.8325,0.7828,,277.0,,0.366666667,8735,52276.12,3,1,3,0.0,0.0,21.0,27676.0,Certificate,Private for-profit,South West,Suburb: Large,Suburb
Brookline College-Phoenix,2218800,6,,0.6843,0.6595,,230.0,5841.0,0.208841463,9500,50758.42,1,4,3,0.0,0.0,11.0,30250.0,Graduate,Private for-profit,South West,City: Large,City
Arizona State University-Tempe,108100,6,1143.0,0.3138,0.4317,0.76481835564053,33985.0,10941.0,0.739734885,14500,69074.33,1,4,1,0.0,0.0,12.0,11337.0,Graduate,Public,South West,City: Midsize,City
Arizona Western College,107100,6,,0.5601,0.0391,,5214.0,6247.0,PrivacySuppressed,4000,41365.15,2,2,1,0.0,0.0,13.0,8959.0,Associates,Public,South West,City: Small,City
University of Arizona,108300,6,,0.3174,0.4078,0.7642623136014399,26404.0,10499.0,0.836771845,13000,64708.31,1,4,1,0.0,0.0,11.0,16099.0,Graduate,Public,South West,City: Large,City
Southwest University of Visual Arts-Tucson,2491500,6,,0.4068,0.5706,,350.0,5670.0,0.465517241,31000,56683.5,1,4,3,0.0,0.0,11.0,36108.0,Graduate,Private for-profit,South West,City: Large,City
Central Arizona College,728300,6,,0.4858,0.1642,,4536.0,6252.0,0.669117647,5500,49319.55,2,2,1,0.0,0.0,41.0,4480.0,Associates,Public,South West,Rural: Fringe,Rural
Charles of Italy Beauty College,2280500,6,,0.6495,0.5670000000000001,,30.0,,0.315789474,7389,46757.68,3,1,3,0.0,0.0,13.0,10309.0,Certificate,Private for-profit,South West,City: Small,City
Cochise County Community College District,107200,6,,0.3773,0.0854,,4966.0,6990.0,0.589041096,4478,44599.32,2,2,1,0.0,0.0,42.0,4511.0,Associates,Public,South West,Rural: Distant,Rural
Empire Beauty School-Flagstaff,1054207,6,,0.8272,0.7284,,11.0,,0.469135803,9500,60995.61,3,1,3,0.0,0.0,13.0,12608.0,Certificate,Private for-profit,South West,City: Small,City
Empire Beauty School-Chandler,1054208,6,,0.6759,0.5586,,38.0,,0.469135803,9500,60995.61,3,1,3,0.0,0.0,21.0,12410.0,Certificate,Private for-profit,South West,Suburb: Large,Suburb
Cortiva Institute-Tucson,2582700,6,,0.7301,0.8805,,158.0,,0.514705882,6333,54064.81,3,1,3,0.0,0.0,11.0,20397.0,Certificate,Private for-profit,South West,City: Large,City
Avalon School of Cosmetology-Mesa,1085800,6,,0.8082,0.8082,,102.0,,0.36971831,6741.5,66538.28,3,1,3,0.0,0.0,11.0,11965.0,Certificate,Private for-profit,South West,City: Large,City
Eastern Arizona College,107300,6,,0.1776,0.0,,6223.0,8265.0,,PrivacySuppressed,44403.48,2,2,1,0.0,0.0,33.0,6980.0,Associates,Public,South West,Town: Remote,Town
Embry-Riddle Aeronautical University-Prescott,147902,6,,0.2631,0.5055,0.71157469717362,,8514.0,0.855578371,12710,66671.2,1,4,2,0.0,0.0,41.0,33714.0,Graduate,Private non-profit,South West,Rural: Fringe,Rural
Frank Lloyd Wright School of Architecture,2533200,6,,,,,,1952.0,PrivacySuppressed,PrivacySuppressed,,1,4,2,0.0,0.0,41.0,,Graduate,Private non-profit,South West,Rural: Fringe,Rural
Glendale Community College,107600,6,,0.3587,0.1531,,20091.0,9062.0,PrivacySuppressed,3500,60869.63,2,2,1,0.0,0.0,21.0,6995.0,Associates,Public,South West,Suburb: Large,Suburb
Grand Canyon University,107400,6,,0.4773,0.6406,0.4319941986947,1563.0,5985.0,0.71969697,12312,62877.37,1,4,3,0.0,0.0,11.0,28469.0,Graduate,Private for-profit,South West,City: Large,City
GateWay Community College,830300,6,,0.3457,0.215,,7895.0,8704.0,0.509615385,6500,55530.55,2,2,1,0.0,0.0,11.0,7591.0,Associates,Public,South West,City: Large,City
Mesa Community College,107700,6,,0.3323,0.1962,,22821.0,9085.0,0.6,4401,63155.06,2,2,1,0.0,0.0,11.0,8084.0,Associates,Public,South West,City: Large,City
Mohave Community College,1186400,6,,0.4559,0.2085,,5883.0,6304.0,0.535014006,8420,44384.44,2,2,1,0.0,0.0,41.0,7493.0,Associates,Public,South West,Rural: Fringe,Rural
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2100500,6,,0.4499,0.5693,,1503.0,,0.509598366,14188,62022.22,2,1,3,0.0,0.0,11.0,17397.0,Certificate,Private for-profit,South West,City: Large,City
Dine College,824600,6,,0.711,0.0,,1712.0,5580.0,,PrivacySuppressed,32363.14,1,3,1,0.0,0.0,43.0,3923.0,Bachelors,Public,South West,Rural: Remote,Rural
Northern Arizona University,108200,6,,0.3675,0.5177,0.77060510764764,13905.0,7989.0,0.710358699,12500,59985.62,1,4,1,0.0,0.0,13.0,14785.0,Graduate,Public,South West,City: Small,City
Northland Pioneer College,1186200,6,,0.2825,0.0,,5096.0,6128.0,,PrivacySuppressed,39948.81,2,2,1,0.0,0.0,41.0,8469.0,Associates,Public,South West,Rural: Fringe,Rural
Ottawa University-Phoenix,193701,6,,0.5658,0.605,0.40918163672654,1129.0,5515.0,0.657718121,12908.5,65346.8,1,4,2,0.0,0.0,11.0,,Graduate,Private non-profit,South West,City: Large,City
Phoenix College,107800,6,,0.4464,0.2271,,12386.0,9116.0,0.638888889,6750,50868.19,2,2,1,0.0,0.0,11.0,7502.0,Associates,Public,South West,City: Large,City
Cortiva Institute-Scottsdale,2623800,6,,0.55,0.8813,,121.0,,0.524752475,7600,62086.42,3,1,3,0.0,0.0,12.0,18361.0,Certificate,Private for-profit,South West,City: Midsize,City
Pima Community College,726600,6,,0.3118,0.1163,,28078.0,5367.0,0.604972376,3750,50427.11,2,2,1,0.0,0.0,11.0,2721.0,Associates,Public,South West,City: Large,City
Pima Medical Institute-Tucson,2217100,6,,0.5032,0.6548,,364.0,5162.0,0.451013926,8445,59572.48,1,3,3,0.0,0.0,11.0,20794.0,Bachelors,Private for-profit,South West,City: Large,City
Pima Medical Institute-Albuquerque,2217103,6,,0.6446,0.6885,,385.0,5555.0,0.451013926,8445,59572.48,2,2,3,0.0,0.0,11.0,18515.0,Associates,Private for-profit,South West,City: Large,City
Prescott College,2065300,6,1039.0,0.4397,0.5991,0.7042682926829201,757.0,4386.0,0.787234043,14988,62739.99,1,4,2,0.0,0.0,13.0,22180.0,Graduate,Private non-profit,South West,City: Small,City
Refrigeration School Inc,1168900,6,,0.6059,0.6464,,171.0,3613.0,0.480446927,9500,57880.38,2,2,3,0.0,0.0,11.0,20746.0,Associates,Private for-profit,South West,City: Large,City
Rio Salado College,2177500,6,,0.1805,0.1491,,11275.0,8278.0,0.390243902,3500,62743.54,2,2,1,0.0,0.0,12.0,7422.0,Associates,Public,South West,City: Midsize,City
Roberto-Venn School of Luthiery,2113800,6,,0.4359,0.5256,,33.0,,PrivacySuppressed,7307,63275.06,3,1,3,0.0,0.0,11.0,19808.0,Certificate,Private for-profit,South West,City: Large,City
Hair Academy of Safford,3005000,6,,0.3256,0.1628,,17.0,,PrivacySuppressed,9500,42963.02,3,1,3,0.0,0.0,41.0,10241.0,Certificate,Private for-profit,South West,Rural: Fringe,Rural
Scottsdale Community College,830400,6,,0.2055,0.1474,,10391.0,9130.0,PrivacySuppressed,4159,67477.78,2,2,1,0.0,0.0,41.0,8407.0,Associates,Public,South West,Rural: Fringe,Rural
South Mountain Community College,2146600,6,,0.4920000000000001,0.2335,,3514.0,8917.0,PrivacySuppressed,4750,55144.14,2,2,1,0.0,0.0,11.0,6877.0,Associates,Public,South West,City: Large,City
Arizona Christian University,711300,6,997.0,0.2809,0.4098,0.51234567901234,60.0,5155.0,0.828125,9500,65520.64,1,3,2,0.0,0.0,11.0,27570.0,Bachelors,Private non-profit,South West,City: Large,City
Universal Technical Institute of Arizona Inc,822100,6,,0.4909,0.6326,,2091.0,4926.0,0.575375,14216,64889.67,2,2,3,0.0,0.0,22.0,19837.0,Associates,Private for-profit,South West,Suburb: Midsize,Suburb
Western International University,2171500,6,,0.3313,0.3584,,1077.0,7811.0,0.577942083,19012.5,59120.06,1,4,3,0.0,0.0,12.0,15227.0,Graduate,Private for-profit,South West,City: Midsize,City
Empire Beauty School-NW Phoenix,945915,6,,0.7414,0.6552,,90.0,,0.401234568,9261,51858.75,3,1,3,0.0,0.0,11.0,12977.0,Certificate,Private for-profit,South West,City: Large,City
Yavapai College,107900,6,,0.3211,0.1259,,7915.0,6953.0,0.721893491,6000,48093.18,2,2,1,0.0,0.0,13.0,6531.0,Associates,Public,South West,City: Small,City
University of Arkansas at Little Rock,110100,5,990.0,0.4,0.4702,0.89834881320949,8283.0,7511.0,0.679396092,12000,51732.17,1,4,1,0.0,0.0,12.0,12218.0,Graduate,Public,South East,City: Midsize,City
University of Arkansas for Medical Sciences,110900,5,,0.3689,0.5915,,599.0,9485.0,0.85549133,12500,49718.16,1,4,1,0.0,0.0,12.0,,Graduate,Public,South East,City: Midsize,City
Arkansas Baptist College,108700,5,,0.8821,0.8921,,201.0,3935.0,0.523809524,9500,43283.78,1,3,2,0.0,0.0,12.0,13892.0,Bachelors,Private non-profit,South East,City: Midsize,City
Arkansas Beauty School-Little Rock,3005100,5,,0.76,0.78,,25.0,,PrivacySuppressed,5490.5,46467.08,3,1,3,0.0,0.0,12.0,13933.0,Certificate,Private for-profit,South East,City: Midsize,City
Arkansas Beauty College,3997300,5,,0.5818,0.6,,,,PrivacySuppressed,6333,,3,1,3,0.0,0.0,33.0,8973.0,Certificate,Private for-profit,South East,Town: Remote,Town
Lyon College,108800,5,1120.0,0.4262,0.6526,0.59116365899191,471.0,6277.0,0.752688172,12000,48616.43,1,3,2,0.0,0.0,33.0,17003.0,Bachelors,Private non-profit,South East,Town: Remote,Town
Arkansas College of Barbering and Hair Design,3023400,5,,0.7508,0.6991,,67.0,,PrivacySuppressed,9500,44157.53,3,1,3,0.0,0.0,13.0,17782.0,Certificate,Private for-profit,South East,City: Small,City
University of Arkansas,110800,5,1154.0,0.2295,0.3998,0.60057443286924,12502.0,9169.0,0.801935117,14500,52450.53,1,4,1,0.0,0.0,13.0,14546.0,Graduate,Public,South East,City: Small,City
University of Arkansas at Pine Bluff,108600,5,871.0,0.723,0.6964,0.46159029649595,2926.0,5795.0,0.573929961,12500,42634.24,1,4,1,0.0,0.0,13.0,7959.0,Graduate,Public,South East,City: Small,City
Arkansas State University-Beebe,109100,5,,0.2829,0.1155,,4899.0,5148.0,0.617021277,3968.5,47850.96,2,2,1,0.0,0.0,31.0,6972.0,Associates,Public,South East,Town: Fringe,Town
Arkansas State University-Main Campus,109000,5,1088.0,0.4565,0.5406,0.7023943135054201,9289.0,6920.0,0.678571429,12500,42159.88,1,4,1,0.0,0.0,13.0,12152.0,Graduate,Public,South East,City: Small,City
Arkansas Tech University,108900,5,,0.4299,0.4407,0.8911019701234001,4675.0,6371.0,0.712341198,10500,43602.11,1,4,1,0.0,0.0,33.0,10303.0,Graduate,Public,South East,Town: Remote,Town
University of Arkansas at Monticello,108500,5,,0.585,0.5342,,2135.0,5509.0,0.701680672,7222,39642.34,1,4,1,0.0,0.0,33.0,10730.0,Graduate,Public,South East,Town: Remote,Town
Arthur's Beauty College Inc-Jacksonville,2538500,5,,0.7126,0.6092,,54.0,,0.484536083,7812,47817.42,3,1,3,0.0,0.0,21.0,11710.0,Certificate,Private for-profit,South East,Suburb: Large,Suburb
Baptist Health College-Little Rock,3105200,5,1050.0,0.515,0.8678,0.3235294117647,567.0,6052.0,0.717032967,11509,50522.63,2,1,2,0.0,0.0,12.0,21345.0,Certificate,Private non-profit,South East,City: Midsize,City
Black River Technical College,2052200,5,,0.5670000000000001,0.3097,,1239.0,4886.0,0.523809524,7153,38741.83,2,2,1,0.0,0.0,41.0,6471.0,Associates,Public,South East,Rural: Fringe,Rural
University of Central Arkansas,109200,5,1068.0,0.4138,0.5169,0.9217855026664,7471.0,6696.0,0.753255655,11250,48705.91,1,4,1,0.0,0.0,13.0,13063.0,Graduate,Public,South East,City: Small,City
Central Baptist College,109300,5,968.0,0.4336,0.6061,0.4748603351955301,381.0,5244.0,0.676923077,12000,50351.38,1,3,2,0.0,0.0,13.0,15829.0,Bachelors,Private non-profit,South East,City: Small,City
Cossatot Community College of the University of Arkansas,2220900,5,,0.3834,0.0,,815.0,4750.0,,PrivacySuppressed,40394.08,2,2,1,0.0,0.0,41.0,5092.0,Associates,Public,South East,Rural: Fringe,Rural
