city,latd,longd,population_total
CitrusHeights,38.7,-121.2833333,83301
Claremont,34.11,-117.7197222,34926
Clayton,37.94111111,-121.9358333,10897
Clearlake,38.95833333,-122.6263889,15250
Cloverdale,38.79916667,-123.0172222,8618
Clovis,36.82527778,-119.7030556,101314
Coachella,33.67944444,-116.1744444,40704
Coalinga,36.13972222,-120.3602778,13380
Colfax,39.09722222,-120.9538889,1963
Colma,37.67888889,-122.4555556,1792
Colton,34.065,-117.3216667,52154
Colusa,39.21444444,-122.0094444,5971
Commerce,34.00055556,-118.1547222,12823
Compton,33.89666667,-118.225,96455
Concord,37.97805556,-122.0311111,122067
Corcoran,36.09805556,-119.5602778,25515
Corning,39.92611111,-122.1805556,17382
Corona,33.86666667,-117.5666667,158391
Coronado,32.67805556,-117.1725,24697
CorteMadera,37.92555556,-122.5275,9253
CostaMesa,33.665,-117.9122222,109960
Cotati,38.32777778,-122.7091667,7310
Covina,34.09166667,-117.8791667,47796
CrescentCity,41.75583333,-124.2016667,7643
Cudahy,33.96416667,-118.1825,23805
CulverCity,34.00777778,-118.4008333,38883
Cupertino,37.3175,-122.0419444,58302
Cypress,33.81833333,-118.0391667,47802
DalyCity,37.68638889,-122.4683333,101123
DanaPoint,33.46722222,-117.6980556,33351
Danville,37.82166667,-122,42039
Davis,38.55388889,-121.7380556,65622
Delano,35.76888889,-119.2469444,53819
DelMar,32.955,-117.2638889,4161
DelReyOaks,36.59333333,-121.835,1624
DesertHotSprings,33.96111111,-116.5080556,25938
DiamondBar,34.00166667,-117.8208333,55544
Dinuba,36.545,-119.3891667,21453
Dixon,38.44916667,-121.8269444,18351
Dorris,41.965,-121.9188889,939
DosPalos,36.98333333,-120.6333333,4950
Downey,33.93805556,-118.1308333,111772
Duarte,34.14027778,-117.9616667,21321
Dublin,37.70222222,-121.9358333,49890
Dunsmuir,41.22166667,-122.2730556,1650
EastPaloAlto,37.46694444,-122.1397222,28155
Eastvale,33.96305556,-117.5638889,53668
ElCajon,32.79833333,-116.96,99478
ElCentro,32.8,-115.5666667,42598
ElCerrito,37.91583333,-122.3116667,23549
ElkGrove,38.43833333,-121.3819444,153015
ElMonte,34.07333333,-118.0275,113475
ElSegundo,33.92138889,-118.4061111,16654
Emeryville,37.83138889,-122.2852778,10080
Encinitas,33.04444444,-117.2716667,59518
Escalon,37.79166667,-120.9916667,7266
Escondido,33.12472222,-117.0808333,143911
Etna,41.45722222,-122.8969444,737
Eureka,40.80194444,-124.1636111,27191
Exeter,36.29416667,-119.1427778,10334
Fairfax,37.98722222,-122.5888889,7441
Fairfield,38.25777778,-122.0541667,108321
Farmersville,36.30111111,-119.2075,10588
Ferndale,40.57666667,-124.2633333,1371
Fillmore,34.40138889,-118.9177778,15002
Firebaugh,36.85888889,-120.4561111,7549
Folsom,38.67222222,-121.1577778,72203
Fontana,34.1,-117.4666667,201812
FortBragg,39.44583333,-123.8052778,7273
FortJones,41.60722222,-122.8419444,839
Fortuna,40.59805556,-124.1572222,11926
FosterCity,37.55138889,-122.2663889,30567
FountainValley,33.70861111,-117.9563889,55313
Fowler,36.63333333,-119.6833333,5570
Fremont,37.54833333,-121.9886111,220000
Fresno,36.75,-119.7666667,509039
Fullerton,33.88,-117.9286111,135161
Galt,38.26083333,-121.3030556,23647
Gardena,33.89361111,-118.3077778,58829
GardenGrove,33.77888889,-117.9602778,170883
Gilroy,37.01194444,-121.58,48821
Glendale,34.17083333,-118.25,196021
Glendora,34.13083333,-117.8541667,50073
Goleta,34.44055556,-119.8136111,29888
Gonzales,36.50666667,-121.4444444,8187
GrandTerrace,34.03111111,-117.3166667,12040
GrassValley,39.21916667,-121.0583333,12860
Greenfield,36.32083333,-121.2438889,16330
Gridley,39.36388889,-121.6936111,6593
GroverBeach,35.12083333,-120.6194444,13156
Guadalupe,34.96555556,-120.5730556,7080
Gustine,37.25777778,-120.9988889,5520
HalfMoonBay,37.45888889,-122.4369444,11324
Hanford,36.3275,-119.6455556,55283
HawaiianGardens,33.82861111,-118.0736111,14254
Hawthorne,33.91722222,-118.3486111,84293
Hayward,37.66888889,-122.0808333,149392
Healdsburg,38.6175,-122.8663889,11254
Hemet,33.74194444,-116.9830556,78657
Hercules,38.01722222,-122.2886111,24060
HermosaBeach,33.86638889,-118.3997222,19506
Hesperia,34.41277778,-117.3061111,90173
HiddenHills,34.1675,-118.6608333,1856
Highland,34.11833333,-117.2025,53014
Hillsborough,37.56027778,-122.3563889,10825
Hollister,36.84722222,-121.3983333,34928
Holtville,32.81111111,-115.3802778,5939
Hughson,37.60305556,-120.8669444,6640
HuntingtonBeach,33.69277778,-118.0002778,197575
HuntingtonPark,33.98333333,-118.2166667,58114
Huron,36.20277778,-120.1030556,6754
ImperialBeach,32.57833333,-117.1172222,26324
Imperial,32.8475,-115.5694444,14758
IndianWells,33.71583333,-116.3411111,4958
Indio,33.72,-116.2319444,76036
Industry,34.01666667,-117.95,219
Inglewood,33.9575,-118.3461111,109673
Ione,38.35277778,-120.9327778,7918
Irvine,33.68416667,-117.7925,215529
Irwindale,34.11666667,-117.9666667,1422
Isleton,38.16194444,-121.6091667,804
Jackson,38.34888889,-120.7741667,4651
JurupaValley,33.99944444,-117.4752778,97496
Kerman,36.72361111,-120.06,17303
KingCity,36.21277778,-121.1261111,12874
Kingsburg,36.51388889,-119.5538889,11382
LaCaadaFlintridge,34.207721,-118.206979,20246
Lafayette,37.88583333,-122.1180556,24285
LagunaBeach,33.53138889,-117.7691667,22723
LagunaHills,33.59972222,-117.6994444,30344
LagunaNiguel,33.53194444,-117.7025,62979
LagunaWoods,33.60916667,-117.7327778,18747
LaHabra,33.93194444,-117.9461111,60239
LaHabraHeights,33.96388889,-117.9527778,5325
LakeElsinore,33.68138889,-117.3452778,51821
LakeForest,33.64166667,-117.6908333,77264
Lakeport,39.04305556,-122.9158333,4753
Lakewood,33.8475,-118.12,80048
LaMesa,32.77138889,-117.0227778,57065
LaMirada,33.90222222,-118.0097222,48527
Lancaster,34.68333333,-118.15,156633
LaPalma,33.84944444,-118.0438889,15568
LaPuente,34.0325,-117.9552778,39816
LaQuinta,33.67527778,-116.2975,37467
Larkspur,37.93416667,-122.5352778,11926
Lathrop,37.81694444,-121.2886111,18023
LaVerne,34.11444444,-117.7713889,31063
Lawndale,33.88666667,-118.3536111,32769
LemonGrove,32.74138889,-117.0316667,25320
Lemoore,36.30083333,-119.7827778,25281
Lincoln,38.88722222,-121.2961111,42819
Lindsay,36.2,-119.0833333,11768
LiveOakSutterCounty,39.27583333,-121.66,8392
Livermore,37.68194444,-121.7680556,83547
Livingston,37.38694444,-120.7236111,13058
Lodi,38.12888889,-121.2808333,62134
LomaLinda,34.04833333,-117.2505556,23261
Lomita,33.79333333,-118.3161111,20256
Lompoc,34.64611111,-120.4602778,42434
LongBeach,33.76833333,-118.1955556,462257
Loomis,38.81638889,-121.1927778,6430
LosAlamitos,33.80222222,-118.0644444,11449
LosAltos,37.36805556,-122.0975,28976
LosAltosHills,37.37138889,-122.1375,7922
LosAngeles,34.05,-118.25,3884307
LosBanos,37.05833333,-120.85,35972
LosGatos,37.23611111,-121.9616667,29413
Loyalton,39.67666667,-120.2430556,769
Lynwood,33.92472222,-118.2019444,69772
Madera,36.96138889,-120.0608333,61416
Malibu,34.03,-118.75,12645
MammothLakes,37.64861111,-118.9719444,8234
ManhattanBeach,33.88888889,-118.4052778,35135
Manteca,37.80277778,-121.2208333,71067
Maricopa,35.05888889,-119.4008333,1154
Marina,36.68444444,-121.8022222,29718
Martinez,38.01944444,-122.1341667,35824
Marysville,39.15,-121.5833333,12072
Maywood,33.98777778,-118.1866667,27395
McFarland,35.67805556,-119.2291667,13745
Mendota,36.75361111,-120.3816667,11014
Menifee,33.67833333,-117.1669444,77519
MenloPark,37.45277778,-122.1833333,32026
Merced,37.3,-120.4833333,80793
Millbrae,37.60083333,-122.4013889,21536
MillValley,37.90611111,-122.545,13903
Milpitas,37.43472222,-121.895,70092
MissionViejo,33.61277778,-117.6561111,96346
Modesto,37.66138889,-120.9944444,201165
Monrovia,34.14416667,-118.0019444,36590
Montague,41.72722222,-122.5263889,1443
Montclair,34.07083333,-117.6975,36664
Montebello,34.01444444,-118.1144444,62500
Monterey,36.6,-121.9,27810
MontereyPark,34.04916667,-118.1355556,60269
MonteSereno,37.23805556,-121.9894444,3341
Moorpark,34.28083333,-118.8733333,34421
Moraga,37.835,-122.1297222,16016
MorenoValley,33.94305556,-117.2283333,193365
MorganHill,37.13055556,-121.6544444,37882
MorroBay,35.37916667,-120.8533333,10234
MountainView,37.38944444,-122.0819444,74066
MountShasta,41.31444444,-122.3113889,3394
Murrieta,33.56944444,-117.2025,103466
Napa,38.30472222,-122.2988889,76915
NationalCity,32.67805556,-117.0991667,58582
Needles,34.83833333,-114.6111111,4844
NevadaCity,39.26138889,-121.0186111,3068
Newark,37.53333333,-122.0333333,43539
Newman,37.315,-121.0225,10224
NewportBeach,33.61666667,-117.8975,85186
Norco,33.93111111,-117.5486111,27063
Norwalk,33.90694444,-118.0833333,105549
Novato,38.1075,-122.5697222,51904
Oakdale,37.76916667,-120.8569444,20675
Oakland,37.80444444,-122.2708333,406253
Oakley,37.9975,-121.7125,35432
Oceanside,33.21166667,-117.3258333,183095
Ojai,34.44916667,-119.2466667,7461
Ontario,34.05277778,-117.6277778,163924
Orange,33.80305556,-117.8325,136416
OrangeCove,36.62444444,-119.3136111,9078
Orinda,37.88277778,-122.1797222,18342
Orland,39.7475,-122.1963889,7291
Oroville,39.51666667,-121.55,15506
Oxnard,34.19138889,-119.1825,203585
Pacifica,37.62277778,-122.4855556,37234
PacificGrove,36.61777778,-121.9166667,15295
Palmdale,34.58111111,-118.1005556,152750
PalmDesert,33.72555556,-116.3694444,48445
PalmSprings,33.82388889,-116.5302778,44552
PaloAlto,37.42916667,-122.1380556,64403
PalosVerdesEstates,33.78694444,-118.3966667,13438
Paradise,39.75972222,-121.6213889,26249
Paramount,33.9,-118.1666667,54098
Parlier,36.61166667,-119.5269444,14494
Pasadena,34.15611111,-118.1319444,137122
PasoRobles,35.64083333,-120.6538889,29792
Patterson,37.47305556,-121.1327778,20413
Perris,33.79666667,-117.2244444,71326
Petaluma,38.24583333,-122.6313889,58921
PicoRivera,33.98888889,-118.0891667,62942
Piedmont,37.81666667,-122.2333333,10667
Pinole,38.00444444,-122.2911111,18390
PismoBeach,35.14833333,-120.6480556,7655
Pittsburg,38.02805556,-121.8847222,63264
Placentia,33.8825,-117.855,50533
Placerville,38.72972222,-120.7986111,10389
PleasantHill,37.94805556,-122.0525,33152
Pleasanton,37.6625,-121.8747222,70285
Plymouth,38.48194444,-120.8447222,1005
PointArena,38.90888889,-123.6930556,449
Pomona,34.06083333,-117.7558333,1
Porterville,36.06861111,-119.0275,55697
PortHueneme,34.16027778,-119.1944444,21723
Portola,39.81027778,-120.4697222,2104
PortolaValley,37.375,-122.2186111,4353
Poway,32.97,-117.0386111,47811
RanchoCordova,38.58916667,-121.3027778,64776
RanchoCucamonga,34.12333333,-117.5794444,170746
RanchoMirage,33.76916667,-116.4211111,17218
RanchoPalosVerdes,33.75833333,-118.3641667,41643
RanchoSantaMargarita,33.64138889,-117.5944444,47853
RedBluff,40.17666667,-122.2380556,24674
Redding,40.58333333,-122.3666667,92328
Redlands,34.05472222,-117.1825,68747
RedondoBeach,33.85638889,-118.3769444,66748
RedwoodCity,37.48277778,-122.2361111,76815
Reedley,36.59638889,-119.4502778,24194
Rialto,34.11138889,-117.3825,101740
Richmond,37.93583333,-122.3477778,103701
Ridgecrest,35.6225,-117.6708333,27616
RioDell,40.49916667,-124.1063889,3363
RioVista,38.16388889,-121.6958333,7360
Ripon,37.74055556,-121.1283333,14297
Riverbank,37.73138889,-120.9436111,22678
Riverside,33.94805556,-117.3961111,313673
Rocklin,38.8,-121.2466667,56974
RohnertPark,38.34722222,-122.6952778,40971
RollingHills,33.75944444,-118.3416667,1860
RollingHillsEstates,33.77361111,-118.3608333,8067
Rosemead,34.06666667,-118.0833333,53764
Roseville,38.7525,-121.2894444,127323
Ross,37.9625,-122.555,2415
Sacramento,38.55555556,-121.4688889,466488
Salinas,36.67777778,-121.6555556,163665
SanAnselmo,37.97472222,-122.5616667,12336
SanBernardino,34.1,-117.3,209924
SanBruno,37.62527778,-122.4252778,41114
SanCarlos,37.49916667,-122.2633333,28406
SanClemente,33.43777778,-117.6202778,63522
SandCity,36.61722222,-121.8483333,334
SanDiego,32.715,-117.1625,1345895
SanDimas,34.10277778,-117.8161111,33371
SanFernando,34.28722222,-118.4388889,23645
SanFrancisco,37.78333333,-122.4166667,837442
SanGabriel,34.09416667,-118.0983333,39718
Sanger,36.70805556,-119.5558333,24270
SanJacinto,33.78722222,-116.9666667,44199
SanJoaquin,36.60666667,-120.1891667,4001
SanJose,37.33333333,-121.9,1000536
SanJuanBautista,36.84416667,-121.5372222,1862
SanJuanCapistrano,33.49944444,-117.6616667,34593
SanLeandro,37.725,-122.1561111,86869
SanLuisObispo,35.27416667,-120.6630556,45119
SanMarcos,33.14194444,-117.1702778,83781
SanMarino,34.12277778,-118.1130556,13147
SanMateo,37.55416667,-122.3130556,97207
SanPablo,37.96222222,-122.3455556,29139
SanRafael,37.97361111,-122.5311111,57713
SanRamon,37.78,-121.9780556,73927
SantaAna,33.74083333,-117.8813889,324528
SantaBarbara,34.42583333,-119.7141667,90893
SantaClara,37.35444444,-121.9691667,116468
SantaClarita,34.41666667,-118.5063889,209130
SantaCruz,36.97194444,-122.0263889,62864
SantaFeSprings,33.9375,-118.0672222,16223
SantaMaria,34.95138889,-120.4333333,101459
SantaMonica,34.02194444,-118.4813889,89736
SantaPaula,34.35583333,-119.0683333,29321
SantaRosa,38.44861111,-122.7047222,170685
Santee,32.86972222,-116.9711111,53413
Saratoga,37.2725,-122.0194444,29926
Sausalito,37.85916667,-122.4852778,7061
ScottsValley,37.05138889,-122.0133333,11580
SealBeach,33.75916667,-118.0825,24168
Seaside,36.61111111,-121.8447222,33025
Sebastopol,38.39916667,-122.8269444,7379
Selma,36.57083333,-119.6119444,23219
Shafter,35.50055556,-119.2716667,16988
ShastaLake,40.67805556,-122.37,10164
SierraMadre,34.16472222,-118.0508333,10917
SignalHill,33.79935,-118.16558,11465
SimiValley,34.27111111,-118.7394444,126874
SolanaBeach,32.99527778,-117.2602778,12867
Soledad,36.42472222,-121.3263889,25738
Solvang,34.59388889,-120.1397222,5245
Sonoma,38.28888889,-122.4588889,10648
Sonora,37.98444444,-120.3816667,7169
SouthElMonte,34.04888889,-118.0483333,20116
SouthGate,33.94416667,-118.195,94396
SouthLakeTahoe,38.94,-119.9769444,21403
SouthPasadena,34.11305556,-118.1558333,25619
SouthSanFrancisco,37.65611111,-122.4255556,64409
Stanton,33.8025,-117.9944444,38186
StHelena,38.50527778,-122.4702778,5814
Stockton,37.97555556,-121.3008333,301090
SuisunCity,38.245,-122.0169444,28111
Sunnyvale,37.37111111,-122.0375,140081
Susanville,40.41638889,-120.6530556,17974
SutterCreek,38.39305556,-120.8025,2501
Taft,35.1425,-119.4563889,9327
Tehachapi,35.13222222,-118.4488889,14414
Tehama,40.02444444,-122.1238889,418
Temecula,33.50333333,-117.1236111,105208
TempleCity,34.10277778,-118.0580556,35558
ThousandOaks,34.18944444,-118.875,128374
Tiburon,37.87361111,-122.4566667,8962
Torrance,33.83472222,-118.3413889,147027
Tracy,37.73805556,-121.4338889,82922
Trinidad,41.05916667,-124.1430556,367
Truckee,39.34222222,-120.2036111,16180
Tulare,36.20666667,-119.3425,59278
Tulelake,41.95416667,-121.4758333,1010
Turlock,37.50583333,-120.8488889,69733
Tustin,33.73972222,-117.8136111,75540
TwentyninePalms,34.13833333,-116.0725,25768
Ukiah,39.15027778,-123.2077778,16075
UnionCity,37.58694444,-122.0258333,72155
Upland,34.1,-117.65,73732
Vacaville,38.35388889,-121.9727778,92428
Vallejo,38.11305556,-122.2358333,115942
Ventura,34.275,-119.2277778,106433
Vernon,34.00111111,-118.2111111,112
Victorville,34.53611111,-117.2883333,120336
VillaPark,33.81611111,-117.8111111,5812
Visalia,36.31666667,-119.3,124442
Vista,33.19361111,-117.2411111,93834
Walnut,34.03333333,-117.8666667,29172
WalnutCreek,37.90638889,-122.065,64173
Wasco,35.59416667,-119.3408333,25545
Waterford,37.645,-120.7675,8456
Watsonville,36.92,-121.7636111,51199
Weed,41.42416667,-122.3844444,2967
WestCovina,34.05666667,-117.9186111,106098
WestHollywood,34.08777778,-118.3722222,34650
WestlakeVillage,34.14194444,-118.8194444,8270
Westminster,33.75138889,-117.9938889,89701
Westmorland,33.03722222,-115.6213889,2225
WestSacramento,38.58055556,-121.5302778,48744
Wheatland,39.01,-121.4230556,3456
Whittier,33.96555556,-118.0244444,85331
Wildomar,33.60361111,-117.2727778,32176
Williams,39.15472222,-122.1494444,5123
Willits,39.40972222,-123.3555556,4888
Willows,39.52444444,-122.1936111,6166
Windsor,38.54611111,-122.8052778,26801
Winters,38.525,-121.9708333,6624
Woodlake,36.41638889,-119.0994444,7279
Woodland,38.67861111,-121.7733333,55468
Woodside,37.42083333,-122.2597222,5287
YorbaLinda,33.888551,-117.813231,65237
Yountville,38.40305556,-122.3622222,2933
Yreka,41.72666667,-122.6375,7765
YubaCity,39.13472222,-121.6261111,64925
Yucaipa,34.03027778,-117.0486111,51367
YuccaValley,34.13333333,-116.4166667,20700
