Id,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
131,3,0,20.0,0,0,7.05,1
132,3,1,47.0,1,0,14.5,1
133,2,1,29.0,1,0,26.0,1
134,2,0,25.0,0,0,13.0,1
135,2,0,23.0,0,0,15.0458,0
136,1,1,19.0,0,2,26.2833,1
137,1,0,37.0,1,0,53.1,1
138,3,0,16.0,0,0,9.2167,1
139,1,0,24.0,0,0,79.2,0
140,3,1,32.0,0,2,15.2458,0
141,3,1,22.0,0,0,7.75,1
142,3,1,24.0,1,0,15.85,1
143,3,0,19.0,0,0,6.75,2
144,2,0,18.0,0,0,11.5,1
145,2,0,19.0,1,1,36.75,1
146,3,0,27.0,0,0,7.7958,1
147,3,1,9.0,2,2,34.375,1
148,2,0,36.5,0,2,26.0,1
149,2,0,42.0,0,0,13.0,1
150,2,0,51.0,0,0,12.525,1
151,1,1,22.0,1,0,66.6,1
152,3,0,55.5,0,0,8.05,1
153,3,0,40.5,0,2,14.5,1
154,3,0,27.0,0,0,7.3125,1
155,1,0,51.0,0,1,61.3792,0
156,3,1,16.0,0,0,7.7333,2
157,3,0,30.0,0,0,8.05,1
158,3,0,23.0,0,0,8.6625,1
159,3,0,33.0,8,2,69.55,1
160,3,0,44.0,0,1,16.1,1
161,2,1,40.0,0,0,15.75,1
162,3,0,26.0,0,0,7.775,1
163,3,0,17.0,0,0,8.6625,1
164,3,0,1.0,4,1,39.6875,1
165,3,0,9.0,0,2,20.525,1
166,1,1,35.0,0,1,55.0,1
167,3,1,45.0,1,4,27.9,1
168,1,0,37.0,0,0,25.925,1
169,3,0,28.0,0,0,56.4958,1
170,1,0,61.0,0,0,33.5,1
171,3,0,4.0,4,1,29.125,2
172,3,1,1.0,1,1,11.1333,1
173,3,0,21.0,0,0,7.925,1
174,1,0,56.0,0,0,30.6958,0
175,3,0,18.0,1,1,7.8542,1
176,3,0,28.0,3,1,25.4667,1
177,1,1,50.0,0,0,28.7125,0
178,2,0,30.0,0,0,13.0,1
179,3,0,36.0,0,0,0.0,1
180,3,1,31.0,8,2,69.55,1
181,2,0,35.0,0,0,15.05,0
182,3,0,9.0,4,2,31.3875,1
183,2,0,1.0,2,1,39.0,1
184,3,1,4.0,0,2,22.025,1
185,1,0,23.0,0,0,50.0,1
186,3,1,34.0,1,0,15.5,2
187,1,0,45.0,0,0,26.55,1
188,3,0,40.0,1,1,15.5,2
189,3,0,36.0,0,0,7.8958,1
190,2,1,32.0,0,0,13.0,1
191,2,0,19.0,0,0,13.0,1
192,3,1,19.0,1,0,7.8542,1
193,2,0,3.0,1,1,26.0,1
194,1,1,44.0,0,0,27.7208,0
195,1,1,58.0,0,0,146.5208,0
196,3,0,25.0,0,0,7.75,2
197,3,0,42.0,0,1,8.4042,1
198,3,1,38.0,0,0,7.75,2
199,2,1,24.0,0,0,13.0,1
200,3,0,28.0,0,0,9.5,1
201,3,0,35.0,8,2,69.55,1
202,3,0,34.0,0,0,6.4958,1
203,3,0,45.5,0,0,7.225,0
204,3,0,18.0,0,0,8.05,1
205,3,1,2.0,0,1,10.4625,1
206,3,0,32.0,1,0,15.85,1
207,3,0,26.0,0,0,18.7875,0
208,3,1,16.0,0,0,7.75,2
209,1,0,40.0,0,0,31.0,0
210,3,0,24.0,0,0,7.05,1
211,2,1,35.0,0,0,21.0,1
212,3,0,22.0,0,0,7.25,1
213,2,0,30.0,0,0,13.0,1
214,3,0,21.0,1,0,7.75,2
215,1,1,31.0,1,0,113.275,0
216,3,1,27.0,0,0,7.925,1
217,2,0,42.0,1,0,27.0,1
218,1,1,32.0,0,0,76.2917,0
219,2,0,30.0,0,0,10.5,1
220,3,0,16.0,0,0,8.05,1
221,2,0,27.0,0,0,13.0,1
222,3,0,51.0,0,0,8.05,1
223,3,0,37.0,0,0,7.8958,1
224,1,0,38.0,1,0,90.0,1
225,3,0,22.0,0,0,9.35,1
226,2,0,19.0,0,0,10.5,1
227,3,0,20.5,0,0,7.25,1
228,2,0,18.0,0,0,13.0,1
229,3,1,37.0,3,1,25.4667,1
230,1,1,35.0,1,0,83.475,1
231,3,0,29.0,0,0,7.775,1
232,2,0,59.0,0,0,13.5,1
233,3,1,5.0,4,2,31.3875,1
234,2,0,24.0,0,0,10.5,1
235,3,1,22.0,0,0,7.55,1
236,2,0,44.0,1,0,26.0,1
237,2,1,8.0,0,2,26.25,1
238,2,0,19.0,0,0,10.5,1
239,2,0,33.0,0,0,12.275,1
240,3,1,37.0,1,0,14.4542,0
241,3,1,39.0,1,0,15.5,2
242,2,0,29.0,0,0,10.5,1
243,3,0,22.0,0,0,7.125,1
244,3,0,30.0,0,0,7.225,0
245,1,0,44.0,2,0,90.0,2
246,3,1,25.0,0,0,7.775,1
247,2,1,24.0,0,2,14.5,1
248,1,0,37.0,1,1,52.5542,1
249,2,0,54.0,1,0,26.0,1
250,3,0,26.0,0,0,7.25,1
251,3,1,29.0,1,1,10.4625,1
252,1,0,62.0,0,0,26.55,1
253,3,0,30.0,1,0,16.1,1
254,3,1,41.0,0,2,20.2125,1
255,3,1,29.0,0,2,15.2458,0
256,1,1,34.0,0,0,79.2,0
257,1,1,30.0,0,0,86.5,1
258,1,1,35.0,0,0,512.3292,0
259,2,1,50.0,0,1,26.0,1
260,3,0,21.0,0,0,7.75,2
261,3,0,3.0,4,2,31.3875,1
262,1,0,52.0,1,1,79.65,1
263,1,0,40.0,0,0,0.0,1
264,3,1,25.0,0,0,7.75,2
265,2,0,36.0,0,0,10.5,1
266,3,0,16.0,4,1,39.6875,1
267,3,0,25.0,1,0,7.775,1
268,1,1,58.0,0,1,153.4625,1
269,1,1,35.0,0,0,135.6333,1
270,1,0,31.0,0,0,31.0,1
271,3,0,25.0,0,0,0.0,1
272,2,1,41.0,0,1,19.5,1
273,1,0,37.0,0,1,29.7,0
274,3,1,27.0,0,0,7.75,2
275,1,1,63.0,1,0,77.9583,1
276,3,1,45.0,0,0,7.75,1
277,2,0,25.0,0,0,0.0,1
278,3,0,7.0,4,1,29.125,2
279,3,1,35.0,1,1,20.25,1
280,3,0,65.0,0,0,7.75,2
281,3,0,28.0,0,0,7.8542,1
282,3,0,16.0,0,0,9.5,1
283,3,0,19.0,0,0,8.05,1
284,1,0,31.0,0,0,26.0,1
285,3,0,33.0,0,0,8.6625,0
286,3,0,30.0,0,0,9.5,1
287,3,0,22.0,0,0,7.8958,1
288,2,0,42.0,0,0,13.0,1
289,3,1,22.0,0,0,7.75,2
290,1,1,26.0,0,0,78.85,1
291,1,1,19.0,1,0,91.0792,0
292,2,0,36.0,0,0,12.875,0
293,3,1,24.0,0,0,8.85,1
294,3,0,24.0,0,0,7.8958,1
295,1,0,25.0,0,0,27.7208,0
296,3,0,23.5,0,0,7.2292,0
297,1,1,2.0,1,2,151.55,1
298,1,0,26.0,0,0,30.5,1
299,1,1,50.0,0,1,247.5208,0
300,3,1,20.0,0,0,7.75,2
301,3,0,36.0,2,0,23.25,2
302,3,0,19.0,0,0,0.0,1
303,2,1,31.0,0,0,12.35,2
304,3,0,28.0,0,0,8.05,1
305,1,0,0.92,1,2,151.55,1
306,1,1,23.0,0,0,110.8833,0
307,1,1,17.0,1,0,108.9,0
308,2,0,30.0,1,0,24.0,0
309,1,1,30.0,0,0,56.9292,0
310,1,1,24.0,0,0,83.1583,0
311,1,1,18.0,2,2,262.375,0
312,2,1,26.0,1,1,26.0,1
313,3,0,28.0,0,0,7.8958,1
314,2,0,43.0,1,1,26.25,1
315,3,1,26.0,0,0,7.8542,1
316,2,1,24.0,1,0,26.0,1
317,2,0,54.0,0,0,14.0,1
318,1,1,31.0,0,2,164.8667,1
319,1,1,40.0,1,1,134.5,0
320,3,0,22.0,0,0,7.25,1
321,3,0,27.0,0,0,7.8958,1
322,2,1,30.0,0,0,12.35,2
323,2,1,22.0,1,1,29.0,1
324,3,0,19.0,8,2,69.55,1
325,1,1,36.0,0,0,135.6333,0
326,3,0,61.0,0,0,6.2375,1
327,2,1,36.0,0,0,13.0,1
328,3,1,31.0,1,1,20.525,1
329,1,1,16.0,0,1,57.9792,0
330,3,1,25.0,2,0,23.25,2
331,1,0,45.5,0,0,28.5,1
332,1,0,38.0,0,1,153.4625,1
333,3,0,16.0,2,0,18.0,1
334,1,1,22.0,1,0,133.65,1
335,3,0,25.0,0,0,7.8958,1
336,1,0,29.0,1,0,66.6,1
337,1,1,41.0,0,0,134.5,0
338,3,0,45.0,0,0,8.05,1
339,1,0,45.0,0,0,35.5,1
340,2,0,2.0,1,1,26.0,1
341,1,1,24.0,3,2,263.0,1
342,2,0,28.0,0,0,13.0,1
343,2,0,25.0,0,0,13.0,1
344,2,0,36.0,0,0,13.0,1
345,2,1,24.0,0,0,13.0,1
346,2,1,40.0,0,0,13.0,1
347,3,1,18.0,1,0,16.1,1
348,3,0,3.0,1,1,15.9,1
349,3,0,42.0,0,0,8.6625,1
350,3,0,23.0,0,0,9.225,1
351,1,0,35.0,0,0,35.0,1
352,3,0,15.0,1,1,7.2292,0
353,3,0,25.0,1,0,17.8,1
354,3,0,35.0,0,0,7.225,0
355,3,0,28.0,0,0,9.5,1
356,1,1,22.0,0,1,55.0,1
357,2,1,38.0,0,0,13.0,1
358,3,1,38.0,0,0,7.8792,2
359,3,1,37.0,0,0,7.8792,2
360,3,0,40.0,1,4,27.9,1
361,2,0,29.0,1,0,27.7208,0
362,3,1,45.0,0,1,14.4542,0
363,3,0,35.0,0,0,7.05,1
364,3,0,33.0,1,0,15.5,2
365,3,0,30.0,0,0,7.25,1
366,1,1,60.0,1,0,75.25,0
367,3,1,31.0,0,0,7.2292,0
368,3,1,27.0,0,0,7.75,2
369,1,1,24.0,0,0,69.3,0
370,1,0,25.0,1,0,55.4417,0
371,3,0,18.0,1,0,6.4958,1
372,3,0,19.0,0,0,8.05,1
373,1,0,22.0,0,0,135.6333,0
374,3,1,3.0,3,1,21.075,1
375,1,1,25.0,1,0,82.1708,0
376,3,1,22.0,0,0,7.25,1
377,1,0,27.0,0,2,211.5,0
378,3,0,20.0,0,0,4.0125,0
379,3,0,19.0,0,0,7.775,1
380,1,1,42.0,0,0,227.525,0
381,3,1,1.0,0,2,15.7417,0
382,3,0,32.0,0,0,7.925,1
383,1,1,35.0,1,0,52.0,1
384,3,0,23.0,0,0,7.8958,1
385,2,0,18.0,0,0,73.5,1
386,3,0,1.0,5,2,46.9,1
387,2,1,36.0,0,0,13.0,1
388,3,0,23.0,0,0,7.7292,2
389,2,1,17.0,0,0,12.0,0
390,1,0,36.0,1,2,120.0,1
391,3,0,21.0,0,0,7.7958,1
392,3,0,28.0,2,0,7.925,1
393,1,1,23.0,1,0,113.275,0
394,3,1,24.0,0,2,16.7,1
395,3,0,22.0,0,0,7.7958,1
396,3,1,31.0,0,0,7.8542,1
397,2,0,46.0,0,0,26.0,1
398,2,0,23.0,0,0,10.5,1
399,2,1,28.0,0,0,12.65,1
400,3,0,39.0,0,0,7.925,1
401,3,0,26.0,0,0,8.05,1
402,3,1,21.0,1,0,9.825,1
403,3,0,28.0,1,0,15.85,1
404,3,1,20.0,0,0,8.6625,1
405,2,0,34.0,1,0,21.0,1
406,3,0,51.0,0,0,7.75,1
407,2,0,3.0,1,1,18.75,1
408,3,0,21.0,0,0,7.775,1
409,3,1,28.0,3,1,25.4667,1
410,3,0,25.0,0,0,7.8958,1
411,3,0,31.0,0,0,6.8583,2
412,1,1,33.0,1,0,90.0,2
413,2,0,22.0,0,0,0.0,1
414,3,0,44.0,0,0,7.925,1
415,3,1,26.0,0,0,8.05,1
416,2,1,34.0,1,1,32.5,1
417,2,1,18.0,0,2,13.0,1
418,2,0,30.0,0,0,13.0,1
419,3,1,10.0,0,2,24.15,1
420,3,0,22.0,0,0,7.8958,0
421,3,0,21.0,0,0,7.7333,2
422,3,0,29.0,0,0,7.875,1
423,3,1,28.0,1,1,14.4,1
424,3,0,18.0,1,1,20.2125,1
425,3,0,24.0,0,0,7.25,1
426,2,1,28.0,1,0,26.0,1
427,2,1,19.0,0,0,26.0,1
428,3,0,25.0,0,0,7.75,2
429,3,0,32.0,0,0,8.05,1
430,1,0,28.0,0,0,26.55,1
431,3,1,20.0,1,0,16.1,1
432,2,1,42.0,1,0,26.0,1
433,3,0,17.0,0,0,7.125,1
434,1,0,50.0,1,0,55.9,1
435,1,1,14.0,1,2,120.0,1
436,3,1,21.0,2,2,34.375,1
437,2,1,24.0,2,3,18.75,1
438,1,0,64.0,1,4,263.0,1
439,2,0,31.0,0,0,10.5,1
440,2,1,45.0,1,1,26.25,1
441,3,0,20.0,0,0,9.5,1
442,3,0,25.0,1,0,7.775,1
443,2,1,28.0,0,0,13.0,1
444,3,0,25.0,0,0,8.1125,1
445,1,0,4.0,0,2,81.8583,1
446,2,1,13.0,0,1,19.5,1
447,1,0,34.0,0,0,26.55,1
448,3,1,5.0,2,1,19.2583,0
449,1,0,52.0,0,0,30.5,1
450,2,0,36.0,1,2,27.75,1
451,3,0,36.0,1,0,19.9667,1
452,1,0,30.0,0,0,27.75,0
453,1,0,49.0,1,0,89.1042,0
454,3,0,36.0,0,0,8.05,1
455,3,0,29.0,0,0,7.8958,0
456,1,0,65.0,0,0,26.55,1
457,1,1,22.0,1,0,51.8625,1
458,2,1,50.0,0,0,10.5,1
459,3,0,38.0,0,0,7.75,2
460,1,0,48.0,0,0,26.55,1
461,3,0,34.0,0,0,8.05,1
462,1,0,47.0,0,0,38.5,1
463,2,0,48.0,0,0,13.0,1
464,3,0,30.0,0,0,8.05,1
465,3,0,38.0,0,0,7.05,1
466,2,0,35.0,0,0,0.0,1
467,1,0,56.0,0,0,26.55,1
468,3,0,23.0,0,0,7.725,2
469,3,1,0.75,2,1,19.2583,0
470,3,0,36.0,0,0,7.25,1
471,3,0,38.0,0,0,8.6625,1
472,2,1,33.0,1,2,27.75,1
473,2,1,23.0,0,0,13.7917,0
474,3,1,22.0,0,0,9.8375,1
475,1,0,36.0,0,0,52.0,1
476,2,0,34.0,1,0,21.0,1
477,3,0,29.0,1,0,7.0458,1
478,3,0,22.0,0,0,7.5208,1
479,3,1,2.0,0,1,12.2875,1
480,3,0,9.0,5,2,46.9,1
481,2,0,33.0,0,0,0.0,1
482,3,0,50.0,0,0,8.05,1
483,3,1,63.0,0,0,9.5875,1
484,1,0,25.0,1,0,91.0792,0
485,3,1,18.0,3,1,25.4667,1
486,1,1,35.0,1,0,90.0,1
487,1,0,58.0,0,0,29.7,0
488,3,0,30.0,0,0,8.05,1
489,3,0,9.0,1,1,15.9,1
490,3,0,32.0,1,0,19.9667,1
491,3,0,21.0,0,0,7.25,1
492,1,0,55.0,0,0,30.5,1
493,1,0,71.0,0,0,49.5042,0
494,3,0,21.0,0,0,8.05,1
495,3,0,26.0,0,0,14.4583,0
496,1,1,54.0,1,0,78.2667,0
497,3,0,28.0,0,0,15.1,1
498,1,1,25.0,1,2,151.55,1
499,3,0,24.0,0,0,7.7958,1
500,3,0,17.0,0,0,8.6625,1
501,3,1,21.0,0,0,7.75,2
502,3,1,25.0,0,0,7.6292,2
503,3,1,37.0,0,0,9.5875,1
504,1,1,16.0,0,0,86.5,1
505,1,0,18.0,1,0,108.9,0
506,2,1,33.0,0,2,26.0,1
507,1,0,35.0,0,0,26.55,1
508,3,0,28.0,0,0,22.525,1
509,3,0,26.0,0,0,56.4958,1
510,3,0,29.0,0,0,7.75,2
511,3,0,18.0,0,0,8.05,1
512,1,0,36.0,0,0,26.2875,1
513,1,1,54.0,1,0,59.4,0
514,3,0,24.0,0,0,7.4958,1
515,1,0,47.0,0,0,34.0208,1
516,2,1,34.0,0,0,10.5,1
517,3,0,33.0,0,0,24.15,2
518,2,1,36.0,1,0,26.0,1
519,3,0,32.0,0,0,7.8958,1
520,1,1,30.0,0,0,93.5,1
521,3,0,22.0,0,0,7.8958,1
522,3,0,25.0,0,0,7.225,0
523,1,1,44.0,0,1,57.9792,0
524,3,0,37.0,0,0,7.2292,0
525,3,0,40.5,0,0,7.75,2
526,2,1,50.0,0,0,10.5,1
527,1,0,33.0,0,0,221.7792,1
528,3,0,39.0,0,0,7.925,1
529,2,0,23.0,2,1,11.5,1
530,2,1,2.0,1,1,26.0,1
531,3,0,28.0,0,0,7.2292,0
532,3,0,17.0,1,1,7.2292,0
533,3,1,31.0,0,2,22.3583,0
534,3,1,30.0,0,0,8.6625,1
535,2,1,7.0,0,2,26.25,1
536,1,0,45.0,0,0,26.55,1
537,1,1,30.0,0,0,106.425,0
538,3,0,35.0,0,0,14.5,1
539,1,1,22.0,0,2,49.5,0
540,1,1,36.0,0,2,71.0,1
541,3,1,9.0,4,2,31.275,1
542,3,1,11.0,4,2,31.275,1
543,2,0,32.0,1,0,26.0,1
544,1,0,50.0,1,0,106.425,0
545,1,0,64.0,0,0,26.0,1
546,2,1,19.0,1,0,26.0,1
547,2,0,26.0,0,0,13.8625,0
548,3,0,33.0,1,1,20.525,1
549,2,0,8.0,1,1,36.75,1
550,1,0,17.0,0,2,110.8833,0
551,2,0,27.0,0,0,26.0,1
552,3,0,18.0,0,0,7.8292,2
553,3,0,22.0,0,0,7.225,0
554,3,1,22.0,0,0,7.775,1
555,1,0,62.0,0,0,26.55,1
556,1,1,48.0,1,0,39.6,0
557,1,0,20.0,0,0,227.525,0
558,1,1,39.0,1,1,79.65,1
559,3,1,36.0,1,0,17.4,1
560,3,0,23.0,0,0,7.75,2
561,3,0,40.0,0,0,7.8958,1
562,2,0,28.0,0,0,13.5,1
563,3,0,31.0,0,0,8.05,1
564,3,1,20.0,0,0,8.05,1
565,3,0,24.0,2,0,24.15,1
566,3,0,19.0,0,0,7.8958,1
567,3,1,29.0,0,4,21.075,1
568,3,0,31.0,0,0,7.2292,0
569,3,0,32.0,0,0,7.8542,1
570,2,0,62.0,0,0,10.5,1
571,1,1,53.0,2,0,51.4792,1
572,1,0,36.0,0,0,26.3875,1
573,3,1,32.0,0,0,7.75,2
574,3,0,16.0,0,0,8.05,1
575,3,0,19.0,0,0,14.5,1
576,2,1,34.0,0,0,13.0,1
577,1,1,39.0,1,0,55.9,1
578,3,1,34.0,1,0,14.4583,0
579,3,0,32.0,0,0,7.925,1
580,2,1,25.0,1,1,30.0,1
581,1,1,39.0,1,1,110.8833,0
582,2,0,54.0,0,0,26.0,1
583,1,0,36.0,0,0,40.125,0
584,3,0,25.0,0,0,8.7125,0
585,1,1,18.0,0,2,79.65,1
586,2,0,47.0,0,0,15.0,1
587,1,0,60.0,1,1,79.2,0
588,3,0,22.0,0,0,8.05,1
589,3,0,33.0,0,0,8.05,1
590,3,0,35.0,0,0,7.125,1
591,1,1,52.0,1,0,78.2667,0
592,3,0,47.0,0,0,7.25,1
593,3,1,39.0,0,2,7.75,2
594,2,0,37.0,1,0,26.0,1
595,3,0,36.0,1,1,24.15,1
596,2,1,38.0,0,0,33.0,1
597,3,0,49.0,0,0,0.0,1
598,3,0,26.0,0,0,7.225,0
599,1,0,49.0,1,0,56.9292,0
600,2,1,24.0,2,1,27.0,1
601,3,0,26.0,0,0,7.8958,1
602,1,0,34.0,0,0,42.4,1
603,3,0,44.0,0,0,8.05,1
604,1,0,35.0,0,0,26.55,0
605,3,0,36.0,1,0,15.55,1
606,3,0,30.0,0,0,7.8958,1
607,1,0,27.0,0,0,30.5,1
608,2,1,22.0,1,2,41.5792,0
609,1,1,40.0,0,0,153.4625,1
610,3,1,39.0,1,5,31.275,1
611,3,0,26.0,0,0,7.05,1
612,3,1,38.0,1,0,15.5,2
613,3,0,25.0,0,0,7.75,2
614,3,0,35.0,0,0,8.05,1
615,2,1,24.0,1,2,65.0,1
616,3,0,34.0,1,1,14.4,1
617,3,1,26.0,1,0,16.1,1
618,2,1,4.0,2,1,39.0,1
619,2,0,26.0,0,0,10.5,1
620,3,0,27.0,1,0,14.4542,0
621,1,0,42.0,1,0,52.5542,1
622,3,0,20.0,1,1,15.7417,0
623,3,0,21.0,0,0,7.8542,1
624,3,0,21.0,0,0,16.1,1
625,1,0,61.0,0,0,32.3208,1
626,2,0,57.0,0,0,12.35,2
627,1,1,21.0,0,0,77.9583,1
628,3,0,26.0,0,0,7.8958,1
629,3,0,26.0,0,0,7.7333,2
630,1,0,80.0,0,0,30.0,1
631,3,0,51.0,0,0,7.0542,1
632,1,0,32.0,0,0,30.5,0
633,1,0,24.0,0,0,0.0,1
634,3,1,9.0,3,2,27.9,1
635,2,1,28.0,0,0,13.0,1
636,3,0,32.0,0,0,7.925,1
637,2,0,31.0,1,1,26.25,1
638,3,1,41.0,0,5,39.6875,1
639,3,0,21.0,1,0,16.1,1
640,3,0,20.0,0,0,7.8542,1
641,1,1,24.0,0,0,69.3,0
642,3,1,2.0,3,2,27.9,1
643,3,0,23.0,0,0,56.4958,1
644,3,1,0.75,2,1,19.2583,0
645,1,0,48.0,1,0,76.7292,0
646,3,0,19.0,0,0,7.8958,1
647,1,0,56.0,0,0,35.5,0
648,3,0,34.0,0,0,7.55,1
649,3,1,23.0,0,0,7.55,1
650,3,0,19.0,0,0,7.8958,1
651,2,1,18.0,0,1,23.0,1
652,3,0,21.0,0,0,8.4333,1
653,3,1,32.0,0,0,7.8292,2
654,3,1,18.0,0,0,6.75,2
655,2,0,24.0,2,0,73.5,1
656,3,0,39.0,0,0,7.8958,1
657,3,1,32.0,1,1,15.5,2
658,2,0,23.0,0,0,13.0,1
659,1,0,58.0,0,2,113.275,0
660,1,0,50.0,2,0,133.65,1
661,3,0,40.0,0,0,7.225,0
662,1,0,47.0,0,0,25.5875,1
663,3,0,36.0,0,0,7.4958,1
664,3,0,20.0,1,0,7.925,1
665,2,0,32.0,2,0,73.5,1
666,2,0,25.0,0,0,13.0,1
667,3,0,27.0,0,0,7.775,1
668,3,0,43.0,0,0,8.05,1
669,1,1,37.0,1,0,52.0,1
670,2,1,40.0,1,1,39.0,1
671,1,0,31.0,1,0,52.0,1
672,2,0,70.0,0,0,10.5,1
673,2,0,31.0,0,0,13.0,1
674,2,0,37.0,0,0,0.0,1
675,3,0,18.0,0,0,7.775,1
676,3,0,24.5,0,0,8.05,1
677,3,1,18.0,0,0,9.8417,1
678,3,1,43.0,1,6,46.9,1
679,1,0,36.0,0,1,512.3292,0
680,3,1,30.0,0,0,8.1375,2
681,1,0,27.0,0,0,76.7292,0
682,3,0,20.0,0,0,9.225,1
683,3,0,14.0,5,2,46.9,1
684,2,0,60.0,1,1,39.0,1
